距離 STOP_DISTANCE68000
直線速度 sp055
レーンチェンジ速度 lcspeed47
クランク速度 clspeed36
カーブブレーキ速度 cbrksp1 42
カーブ速度 cbspeed40
時間,パターン,角度,左前,右前,左後,右後,速度,左端,左中,中央,右中,右端,坂
0,11,-1,100,99,100,99,0,907,749,104,803,877,784
10,11,-2,100,98,100,98,0,895,734,115,803,903,775
20,11,-1,100,99,100,99,0,877,775,80,795,902,772
30,11,-2,100,98,100,98,0,880,738,128,809,903,788
40,11,-3,100,97,100,97,0,909,725,133,838,901,792
50,11,-2,100,98,100,98,0,897,737,127,835,887,786
60,11,-2,100,98,100,98,0,891,745,117,803,900,773
70,11,-3,100,97,100,97,0,898,698,136,851,903,778
80,11,-3,100,97,100,97,0,899,736,106,818,888,790
90,11,-3,100,97,100,97,1,909,729,152,854,889,780
100,11,-3,100,97,100,97,1,921,714,133,838,885,777
110,11,-4,100,96,100,96,1,893,711,128,847,902,772
120,11,-2,100,98,100,98,2,888,743,105,844,922,772
130,11,-3,100,97,100,97,2,907,697,144,822,889,772
140,11,-3,100,97,100,97,2,902,744,137,839,905,789
150,11,-3,100,97,100,97,2,917,744,136,841,894,780
160,11,-2,100,98,100,98,2,877,726,97,808,891,769
170,11,-2,100,98,100,98,2,901,770,118,803,885,780
180,11,-2,100,98,100,98,2,891,741,93,842,924,782
190,11,-2,100,98,100,98,3,881,760,124,824,909,784
200,11,-1,100,99,100,99,3,901,753,105,786,901,788
210,11,0,100,100,100,100,3,887,785,83,805,901,792
220,11,0,100,100,100,100,4,905,806,112,776,886,780
230,11,-1,100,99,100,99,4,900,763,79,786,888,776
240,11,0,100,100,100,100,4,891,807,111,784,923,770
250,11,-1,100,99,100,99,5,884,756,109,829,916,783
260,11,-1,100,99,100,99,5,906,787,84,804,910,774
270,11,-2,100,98,100,98,6,913,739,127,848,894,780
280,11,-3,100,97,100,97,7,882,746,104,843,898,788
290,11,-1,100,99,100,99,7,923,779,95,812,881,768
300,11,-1,100,99,100,99,7,879,783,85,834,884,774
310,11,-1,100,99,100,99,7,899,784,94,811,916,769
320,11,-2,100,98,100,98,8,897,752,132,821,920,784
330,11,-2,100,98,100,98,8,899,766,126,830,913,772
340,11,-2,100,98,100,98,8,910,750,103,826,902,792
350,11,-2,100,98,100,98,8,886,736,126,825,902,792
360,11,-2,100,98,100,98,9,890,771,117,810,888,784
370,11,-2,100,98,100,98,10,921,757,131,847,887,785
380,11,-3,100,97,100,97,11,896,717,122,829,908,781
390,11,-2,100,98,100,98,11,913,767,95,836,907,772
400,11,-3,100,97,100,97,11,897,734,107,857,883,789
410,11,-3,100,97,100,97,12,895,722,119,823,890,791
420,11,-3,100,97,100,97,12,897,732,122,839,889,770
430,11,-2,100,98,100,98,12,885,766,91,813,920,773
440,11,-2,100,98,100,98,12,895,768,128,813,882,784
450,11,-2,100,98,100,98,13,878,725,121,821,878,768
460,11,-1,100,99,100,99,13,878,788,81,827,897,778
470,11,-1,100,99,100,99,14,920,777,80,820,921,773
480,11,-1,100,99,100,99,15,921,777,104,795,897,789
490,11,-2,100,98,100,98,15,875,735,88,836,902,774
500,11,-2,100,98,100,98,15,896,755,120,833,902,780
510,11,-2,100,98,100,98,16,885,734,97,844,911,772
520,11,-2,100,98,100,98,17,877,729,91,837,887,773
530,11,-2,100,98,100,98,17,893,748,136,830,909,769
540,11,-2,100,98,100,98,17,896,736,135,848,902,775
550,11,-1,100,99,100,99,17,885,755,94,788,888,788
560,11,-1,100,99,100,99,17,874,759,82,804,876,768
570,11,-1,100,99,100,99,18,878,794,120,792,919,787
580,11,-1,100,99,100,99,18,923,753,114,816,877,790
590,11,0,100,100,100,100,19,911,807,81,792,899,768
600,11,0,100,100,100,100,20,919,800,109,778,876,772
610,11,1,99,100,99,100,20,893,807,80,747,901,775
620,11,0,100,100,100,100,21,914,804,100,793,907,770
630,11,0,100,100,100,100,22,915,809,86,804,886,788
640,11,0,100,100,100,100,23,893,790,109,805,905,788
650,11,0,100,100,100,100,23,891,799,109,797,881,783
660,11,-1,100,99,100,99,23,908,780,111,799,900,782
670,11,0,100,100,100,100,23,924,794,90,771,898,777
680,11,1,99,100,99,100,24,923,807,91,756,921,774
690,11,0,100,100,100,100,24,912,779,92,796,906,776
700,11,0,100,100,100,100,25,886,811,99,767,874,783
710,11,0,100,100,100,100,25,911,787,93,772,891,778
720,11,1,99,100,99,100,26,880,831,113,791,889,779
730,11,0,100,100,100,100,26,918,770,121,804,917,776
740,11,1,99,100,99,100,26,889,831,90,759,900,774
750,11,2,98,100,98,100,27,896,801,125,742,918,785
760,11,2,98,100,98,100,27,877,836,110,760,906,777
770,11,3,97,100,97,100,28,902,822,123,710,887,791
780,11,2,98,100,98,100,29,907,815,115,742,882,773
790,11,2,98,100,98,100,29,915,827,110,739,912,781
800,11,1,99,100,99,100,29,879,801,82,758,887,786
810,11,-1,100,99,100,99,29,918,765,115,795,888,792
820,11,-1,100,99,100,99,29,923,752,103,816,917,774
830,11,0,100,100,100,100,29,893,799,96,782,915,768
840,11,0,100,100,100,100,29,912,806,123,791,878,784
850,11,1,99,100,99,100,30,887,790,85,772,908,791
860,11,2,98,100,98,100,31,919,804,126,722,880,786
870,11,2,98,100,98,100,32,890,806,100,754,909,771
880,11,1,99,100,99,100,32,921,794,91,785,874,785
890,11,1,99,100,99,100,32,922,816,122,769,886,775
900,11,1,99,100,99,100,33,907,787,87,790,906,770
910,11,1,99,100,99,100,33,921,796,79,763,895,789
920,11,0,100,100,100,100,33,889,808,78,791,884,792
930,11,-1,100,99,100,99,34,885,784,92,832,899,773
940,11,-1,100,99,100,99,35,920,748,107,830,877,768
950,11,-2,100,98,100,98,36,877,725,107,845,919,791
960,11,-2,100,98,100,98,36,882,732,120,826,898,777
970,11,-2,100,98,100,98,37,893,739,96,800,888,779
980,11,-1,100,99,100,99,37,902,784,97,823,890,781
990,11,-1,100,99,100,99,37,884,773,100,800,911,783
1000,11,-1,100,99,100,99,37,915,784,80,786,877,769
1010,11,0,100,100,100,100,38,919,783,88,814,905,776
1020,11,0,100,100,100,100,38,920,781,111,796,915,770
1030,11,0,100,100,100,100,39,898,814,122,786,887,781
1040,11,-1,100,99,100,99,39,899,746,124,799,909,772
1050,11,-1,100,99,100,99,40,890,764,117,788,884,792
1060,11,-1,100,99,100,99,40,907,770,105,792,896,771
1070,11,-2,100,98,100,98,41,878,727,112,835,897,775
1080,11,-2,100,98,100,98,41,919,734,114,839,912,792
1090,11,-2,100,98,100,98,42,902,741,124,810,887,775
1100,11,-2,100,98,100,98,42,919,732,90,812,887,784
1110,11,-1,100,99,100,99,43,907,795,83,808,915,782
1120,11,-2,100,98,100,98,44,889,728,97,848,904,770
1130,11,-1,100,99,100,99,44,897,759,117,832,880,787
1140,11,-1,100,99,100,99,45,876,763,80,834,876,791
1150,11,-2,100,98,100,98,45,875,739,121,809,890,774
1160,11,-2,100,98,100,98,45,898,743,127,833,882,785
1170,11,-2,100,98,100,98,45,909,743,101,815,922,777
1180,11,-1,100,99,100,99,46,895,747,116,824,907,780
1190,11,-2,100,98,100,98,47,874,768,108,841,895,779
1200,11,-2,100,98,100,98,47,875,750,119,845,879,787
1210,11,-1,100,99,100,99,48,883,763,86,793,878,780
1220,11,-1,100,99,100,99,49,922,756,84,831,923,783
1230,11,0,100,100,100,100,49,906,771,110,801,919,788
1240,11,-1,100,99,100,99,49,894,788,119,793,885,780
